"n","p","q","prob3","mttf3","prob1","mttf1","mttf","tau","shapes1","shape.mles.1","shape.mles.2","shape.mles.3","shape.mles.4","shape.mles.5","scale.mles.1","scale.mles.2","scale.mles.3","scale.mles.4","scale.mles.5","shapes.lower.1","shapes.lower.2","shapes.lower.3","shapes.lower.4","shapes.lower.5","shapes.upper.1","shapes.upper.2","shapes.upper.3","shapes.upper.4","shapes.upper.5","scales.lower.1","scales.lower.2","scales.lower.3","scales.lower.4","scales.lower.5","scales.upper.1","scales.upper.2","scales.upper.3","scales.upper.4","scales.upper.5"
100,0.215,0.825,0.576599200591966,3048606046.08,924.869251041088,924.869251041088,120.568581589276,259.630810543096,0.1,0.857494526707358,0.998891065328597,0.101596486449593,2.243900082151,0.902981561597676,2215.56096193678,1045.58544556941,271.485804918019,468.677614165668,1434.67360635394,0.392126589305519,0.556995574708822,0.0774622731075742,0.807766419774177,0.431487240177436,2.92294702846971,4.74745042039487,0.131483255080908,10.5773842150426,1.89335834464115,484.712314712101,362.95846825297,32.7766355550988,290.960131975874,503.754499775951,168170.466078753,9216.33660146903,10467.92227042,2238.48459692835,45699.3613331751
100,0.215,0.825,0.576599200591966,3048606046.08,924.869251041088,924.869251041088,120.568581589276,259.630810543096,0.1,2.84248877820606,1.19845928578062,0.0982425670493066,0.897677310694636,2.49188371878693,394.722817582884,688.608865943878,196.581240415441,1690.84359099995,526.239862787352,1.62424527457179,0.732766278907822,0.0760011676467054,0.307510783259513,0.810954758053952,8.35004398228433,3.06341717122832,0.121287085121586,4.98939754840408,8.75411620375838,290.420584726965,350.526264141557,22.337877736017,328.172308855018,320.521713241068,1793.9909959537,3674.0070636518,6115.89113270311,1139798.24677653,3621.31655604742
100,0.215,0.825,0.576599200591966,3048606046.08,924.869251041088,924.869251041088,120.568581589276,259.630810543096,0.1,0.799826699068373,1.36087116123476,0.0841286971074727,1.3736581904918,1.16037702715975,4159.30872334235,1197.65450271131,415.382205488527,557.574689397016,1391.8542942783,0.367946490411329,0.739991717239487,0.0666558278329934,0.807854499188613,0.643541506733346,9.50979292442829,6.89985474766185,0.104197495597699,16.1363331444809,9.03375863408753,315.593444564145,484.907728101047,23.3743065688405,311.043686226223,342.228874228914,41407.7945783419,8172.77991927344,12069.8058049598,4011.7514021183,14974.2019163282
100,0.215,0.825,0.576599200591966,3048606046.08,924.869251041088,924.869251041088,120.568581589276,259.630810543096,0.1,0.495023980252216,1.34047549534995,0.104226823043139,1.24267135242711,0.979667788232791,56764.1887480549,696.354828398494,201.856145370516,879.080077545606,766.544824987756,0.363294931728107,0.817155443101752,0.084331301896941,0.779336445328194,0.673192659743884,2.31490303288236,1.9272245758363,0.129462329736638,6.10320590549685,2.17234821759555,2954.65259670211,366.890095297702,21.3783397336157,331.72000595689,334.762974898377,210052.412635054,3041.85199628123,4703.98610870598,4499.54373299724,3879.16301692533
100,0.215,0.825,0.576599200591966,3048606046.08,924.869251041088,924.869251041088,120.568581589276,259.630810543096,0.1,0.950887261467552,0.928348168312912,0.106778034509351,2.24537104637291,1.06643389886786,1035.29931355824,949.767194566608,86.3860204469267,557.908414754717,2458.91537655754,0.541760399943306,0.585916396841979,0.0844317548053331,1.41512362652026,0.373373772481682,13.1246374310716,4.04062642072044,0.130385267138284,7.13605832403388,4.50779590127575,285.704124235943,364.093929815694,9.13549099977107,325.058735252757,543.339965253972,17122.3171686835,8505.39223377055,1498.29628799196,2585.44573906558,13912.0329715591
100,0.215,0.825,0.475568944140618,7779.90037150086,924.869251041088,924.869251041088,152.601739708636,298.648435807868,0.3,1.54602295488309,1.72592912623249,0.246017311927612,1.29633317342995,0.885356334034148,832.767915950061,721.161734668862,1241.23556180023,951.397936435249,1742.18764940422,0.782339960469127,0.805489570764055,0.196726306881751,0.692790012789686,0.508221423339323,34.1480569521386,3.111336172758,0.322313230880948,5.78559887163895,1.26908132066244,314.627273158014,449.711342299101,362.909146437183,420.718616313741,721.304246156682,7453.82974533773,4784.38165882801,8563.440431066,10120.9355746512,16595.7166459835
100,0.215,0.825,0.475568944140618,7779.90037150086,924.869251041088,924.869251041088,152.601739708636,298.648435807868,0.3,1.07448264058114,0.903037988104848,0.276354570855879,4.42736463777096,0.787795504936177,2141.63108996007,1468.52579056499,1192.1146836471,500.57768600496,3980.15825462951,0.658306693499464,0.61302964611488,0.20101871679679,1.44680444367167,0.469124502263169,4.35042018947559,1.43145723802905,0.374952602921694,34.5966065216364,2.9716142159933,665.235058266536,667.547545368453,421.004809414646,318.216779687806,776.281454874139,11688.5573648584,9222.9117847366,7718.81802454989,1364.20124458703,45001.569657249
100,0.215,0.825,0.475568944140618,7779.90037150086,924.869251041088,924.869251041088,152.601739708636,298.648435807868,0.3,2.33511940582341,1.28726632488685,0.261171865739766,1.08490702733845,1.17025799047096,480.68764250508,456.69225663954,1262.41220912331,1306.26963586142,608.889362033183,0.860960064998304,0.866090467822412,0.198223086624924,0.6807156803402,0.615856531281274,32.2627659111859,1.75171447718987,0.344072436794712,3.50416814605474,2.27829074427106,310.922077119714,304.13625547509,398.42793440988,486.671922576526,355.510553426493,2199.24578452812,1462.24499490841,10171.9751643691,13329.9624044413,4127.50824013816
100,0.215,0.825,0.475568944140618,7779.90037150086,924.869251041088,924.869251041088,152.601739708636,298.648435807868,0.3,2.14968358920982,1.0067650958259,0.248603949032309,2.10341926174033,1.55967038475042,518.43224207708,1718.47017034722,971.676866401107,719.195383931678,499.478425688514,0.820076168433015,0.647779663787406,0.188245691137831,0.57933477925387,0.791756324865337,4.85747052012691,1.83275484762417,0.319378868001966,10.2101439100537,3.40948176730531,353.653518321593,627.213995141457,310.942612093895,344.653116008213,350.391605506205,2800.95652929436,18593.9518725761,7600.71746246867,7389.82866515965,2026.24268364373
100,0.215,0.825,0.475568944140618,7779.90037150086,924.869251041088,924.869251041088,152.601739708636,298.648435807868,0.3,1.72375236514656,1.09417566975967,0.280275506031423,1.03926726398024,0.88305337152064,801.074442244322,580.050452024895,932.743414012877,957.392362736193,1268.01945417307,0.788231751498063,0.640011091283765,0.176862539484305,0.661787546193001,0.47546553010702,13.2034478972646,1.88606448699763,0.370553529131507,1.93942119708216,1.89661226020359,331.250263829637,340.5850103416,298.962551889259,454.588744646057,444.601216912333,4645.25646968853,2946.15459301566,7786.88939935039,6344.91842406573,26553.1530691334
100,0.215,0.825,0.393361851959789,1680.2282,924.869251041088,924.869251041088,177.572511944803,325.70321504998,0.5,1.57808594481903,0.665203096208454,0.50177527558964,1.23877393115382,1.39247768332819,449.317873921322,23192.1548415532,874.495882060154,913.98898379113,598.651554258971,0.931664044077071,0.238923972596461,0.339991937431269,0.567553103989637,0.721968094975489,2.39450120611182,2.62452260143397,0.707508164237972,4.14366880392768,2.60945478079817,339.040489391928,1862.72275860007,404.83390288521,415.844507484345,374.086315818931,856.969664260593,1286601.22789207,3408.51539662164,12017.0397630197,2092.52801510373
100,0.215,0.825,0.393361851959789,1680.2282,924.869251041088,924.869251041088,177.572511944803,325.70321504998,0.5,1.97663093552518,1.06805115491063,0.551307691581645,0.959383414501393,1.05292726058354,560.659536308002,1825.92515951433,857.415852745462,2014.89315807128,803.518470313642,1.19426887378516,0.593354797135101,0.430451523911492,0.459002802213483,0.715755752880336,4.33644969585845,8.8989294947635,0.695355486778117,4.65480703251437,3.39338479137184,370.375961937227,410.930574158576,421.096709589544,484.760274182426,451.984872132637,1238.60422997447,52686.2521368678,2672.731965698,228013.368979869,3952.83444647132
100,0.215,0.825,0.393361851959789,1680.2282,924.869251041088,924.869251041088,177.572511944803,325.70321504998,0.5,1.78197080261002,1.45661663240776,0.427963432080647,1.27805208847416,3.39562443735109,533.194173355875,1553.17875953229,849.315627948614,1112.53985536876,408.222327345728,1.10487944111814,0.310991514690739,0.312744098838988,0.905684212097809,1.79659257408261,2.69877908961888,4.91424124232557,0.571127765573788,2.7765422416989,5.2094865112962,367.535280730376,441.836504991743,385.674176064203,539.587554803004,343.668026286527,1448.0310701946,120925.952802131,2858.52679604669,5510.52365274411,639.555383103718
100,0.215,0.825,0.393361851959789,1680.2282,924.869251041088,924.869251041088,177.572511944803,325.70321504998,0.5,1.7266199026841,2.27823000345257,0.500573501346467,0.85398339721565,1.00902490149875,570.732441064009,771.643414855566,1684.93143192757,2051.8758782034,838.66692250861,1.09290568296024,1.06492619188145,0.293085676611378,0.47508157343846,0.529426125431585,3.24634992564468,6.38460200712863,0.817128997496461,2.19034270125596,3.78094578215183,391.077250465069,397.223209588196,552.70156156724,487.008829031935,395.033237024189,1210.82022529039,3077.46198593742,21785.0176622492,34721.8758383621,4901.20599330936
100,0.215,0.825,0.393361851959789,1680.2282,924.869251041088,924.869251041088,177.572511944803,325.70321504998,0.5,1.00624824493848,1.03764756255868,0.621311403605847,1.07978708514503,1.56350976618076,896.654078668041,592.813780329124,1093.68249684771,1703.3854976267,729.807843618419,0.731835636093568,0.765190739814679,0.435758847362351,0.451940834322521,0.899342385627662,1.4905754556191,1.45133673523407,0.885226955660036,4.99205372081424,7.87878826211742,487.538181071922,371.749778212583,520.472550204018,443.996705058704,400.29504621342,3177.55388574995,1271.7697644489,5513.89790693732,239950.412514723,3732.52578114047
100,0.215,0.825,0.328824833415765,1063.43617555016,924.869251041088,924.869251041088,196.415416746624,346.196514899538,0.7,1.1093011578126,1.06014109882156,0.971385451465185,1.15850423356412,1.96427302104503,874.699269047418,819.839457675591,679.708652192346,1336.91040297423,560.713447576962,0.705559235147238,0.649336021048193,0.636019683435421,0.739180640030982,1.14713534446978,1.94678367329892,2.41390242677467,1.45306728459403,5.19886635447129,10.9892692258217,478.507355520588,461.037676981028,412.229347349122,409.326862363287,373.144898348573,3394.79675887609,4971.19647547415,2031.42928204513,9481.69268262177,1557.1866331805
100,0.215,0.825,0.328824833415765,1063.43617555016,924.869251041088,924.869251041088,196.415416746624,346.196514899538,0.7,1.41512474187176,1.11271656199933,0.840978756046012,1.58567968500127,1.23675436096002,827.953519030112,917.081319642972,836.254406217877,660.796545065892,947.944211425918,0.456915233024578,0.68408318977802,0.400148860344956,0.692314835557356,0.528767663500859,2.80042291137377,1.82594925329067,1.25612333147569,4.35790905619707,1.75695670650822,469.280552632852,490.317970801561,475.673871587414,410.571269315001,549.310893077258,34034.086582603,4096.80193680209,10842.3720755943,4015.17282730638,8958.8688599874
